,BACH2,Cd244,CX3CR1,CXCR6,ENTPD1,GZMA,GZMB,HAVCR2,IFNG,ITGAX,MKI67,MYB,PDCD1,SELL,SLAMF6,TCF7,TOX,Teff,Tex,Tpex
JDP2,0.33253855,0.05744167,0.050017036,0.44890106,0.1103984,0.48630732,1.1681801,0.3461263,0.8497566,0.09481368,0.50442016,0.49067342,0.5490372,0.6179436,0.499816,0.6720754,0.5306006,0.15,0.33,0.52
JUN,0.31802976,0.072146945,0.059572466,0.543372,0.11828155,0.2768846,1.1612508,0.27878144,0.76893634,0.022418356,0.48251605,0.5823375,0.5478676,0.57255405,0.43985164,0.5899569,0.53259605,0.1240310077519379,0.3565891472868217,0.5193798449612403
JUNB,0.30714077,0.0,0.06992078,0.1628934,0.05824555,0.019216305,0.24934383,0.06609441,0.54111785,0.0,0.6700549,0.87353957,0.5162891,0.6720773,0.62567955,0.92421395,0.6585116,0.0697674418604651,0.1627906976744186,0.7674418604651163
JUND,0.2540262,0.078582756,0.094278306,0.59318125,0.15721685,0.7199064,1.3733654,0.36062673,1.0498033,0.10057686,0.5357702,0.4389658,0.63513225,0.47895378,0.480933,0.5251993,0.50170153,0.1975308641975308,0.3621399176954732,0.4403292181069959
KLF13,0.29480854,0.05410661,0.051640626,0.3424741,0.07576476,0.40681353,1.0644634,0.21238591,0.8423353,0.045189194,0.71181643,0.5768882,0.57298744,0.6717869,0.571841,0.7471737,0.6358786,0.1407407407407407,0.2592592592592592,0.6
KLF2,0.27076042,0.077114075,0.065030865,0.5798886,0.12271479,0.44437826,1.2099317,0.37726617,0.9599814,0.091787614,0.53710186,0.6530575,0.6322105,0.41134372,0.60218394,0.56657994,0.63481957,0.15625,0.375,0.46875
KLF3,0.21885182,0.05048692,0.11779985,0.47251293,0.13177104,0.51416504,1.3027995,0.3292774,0.9149671,0.106281,0.67982405,0.43919715,0.53585833,0.5544298,0.43768075,0.58200246,0.58311945,0.1513513513513513,0.3189189189189189,0.5297297297297298
KLF4,0.27087095,0.054037087,0.048455983,0.4393687,0.08073683,0.25978976,0.9731709,0.22782421,1.0102645,0.05882032,0.46104226,0.55499256,0.58871925,0.5320709,0.6019855,0.6524602,0.68798095,0.131578947368421,0.3508771929824561,0.5175438596491229
KLF5,0.28897697,0.034182653,0.0950754,0.4253842,0.096157305,0.6461948,1.2031193,0.3311512,1.0204595,0.10730498,0.52042985,0.5302896,0.49334306,0.58957636,0.5276855,0.6863266,0.53612626,0.2263157894736842,0.2473684210526315,0.5263157894736842
KLF8,0.27859816,0.058231138,0.034569412,0.3322904,0.057006743,0.22707652,0.9370832,0.21673536,0.7399443,0.04809931,0.50788516,0.63704777,0.5062231,0.73868746,0.6351814,0.8083908,0.6655929,0.0891089108910891,0.2623762376237624,0.6485148514851485
LEF1,0.24746041,0.041269325,0.09183273,0.38604334,0.10050476,0.40750527,1.0489645,0.17730013,0.7712879,0.04768267,0.60743976,0.5929925,0.48862505,0.5740201,0.5337712,0.7075382,0.58712906,0.1111111111111111,0.2875816993464052,0.6013071895424836
LITAF,0.24684969,0.07502556,0.059739113,0.51509756,0.10102246,0.2513002,1.1468567,0.22848764,0.8723486,0.046220012,0.5032605,0.55277956,0.63783556,0.52585256,0.5116241,0.6156421,0.66525227,0.1013824884792626,0.3732718894009216,0.5253456221198156
LRRFIP1,0.2910264,0.07592143,0.05175482,0.50191635,0.13011442,0.30867898,1.308119,0.36773708,0.8692499,0.052522656,0.720476,0.5287263,0.5799059,0.5727548,0.5382151,0.66493714,0.5688448,0.0802919708029197,0.3722627737226277,0.5474452554744526
MAF,0.301252,0.025672495,0.04339699,0.3939972,0.097466625,0.33659577,0.9887914,0.22066891,0.74091893,0.06163325,0.5550119,0.6606478,0.5299683,0.6229594,0.56290555,0.7032708,0.5297425,0.1318181818181818,0.2272727272727272,0.6409090909090909
MAFF,0.23502275,0.06092418,0.05696488,0.35771012,0.10551368,0.23774056,1.1911983,0.23201172,0.8235544,0.02517769,0.5322938,0.59920925,0.60662675,0.63728553,0.57083774,0.72215426,0.70092946,0.1071428571428571,0.2785714285714286,0.6142857142857143
MAFG,0.3184877,0.034814034,0.06638499,0.45858237,0.11103779,0.51736826,1.1548843,0.28213024,0.91731626,0.08096672,0.6325496,0.5230186,0.546239,0.48807302,0.5046,0.5725612,0.53046125,0.1262626262626262,0.3333333333333333,0.5404040404040404
MAFK,0.31274438,0.06255829,0.077836394,0.55179805,0.11205208,0.35637835,1.068938,0.31174725,1.0219626,0.041554067,0.5671119,0.51394916,0.6477759,0.52104706,0.54509294,0.5889234,0.6920083,0.15,0.3333333333333333,0.5166666666666667
MAML2,0.22574994,0.040806174,0.06505808,0.3851137,0.11045244,0.1644684,0.93461186,0.2316093,0.78582853,0.04428194,0.5611635,0.63949335,0.489062,0.615224,0.5967896,0.68768984,0.62601495,0.056338028169014,0.323943661971831,0.6197183098591549
MAX,0.3149041,0.017638415,0.0794477,0.44776183,0.09508752,0.46333352,1.3679593,0.37422758,1.0504656,0.095154665,0.52430594,0.58422387,0.37922543,0.5727795,0.5811287,0.49656188,0.52278817,0.2195121951219512,0.3008130081300813,0.4796747967479675
MEF2A,0.26552618,0.04054871,0.085995466,0.5887877,0.14089255,0.59613323,1.4689332,0.36462748,0.9649883,0.07370887,0.6566761,0.5147469,0.6494622,0.4123508,0.4427672,0.5131615,0.55429524,0.2052401746724891,0.3537117903930131,0.4410480349344978
MTA3,0.28492093,0.057958283,0.089758925,0.44591597,0.11757966,0.24984458,1.0421714,0.29850292,0.9661493,0.043002594,0.57377225,0.54485685,0.5912048,0.53683895,0.48631614,0.6083133,0.45401317,0.1255813953488372,0.3162790697674418,0.5581395348837209
MXD3,0.26104265,0.0149555765,0.07272206,0.3954416,0.040288743,0.45633376,1.0835619,0.22728397,1.0220537,0.07869461,0.5249084,0.6256268,0.58398086,0.52622944,0.63364935,0.6776415,0.5559409,0.2191780821917808,0.2123287671232876,0.5684931506849316
MXI1,0.2405809,0.045305815,0.10377602,0.42396456,0.12652934,0.28810468,1.1294142,0.29131615,0.97765297,0.0426761,0.7132163,0.51881367,0.72814876,0.48823047,0.4877065,0.62706524,0.6494254,0.0932642487046632,0.38860103626943,0.5181347150259067
MYB,0.298827,0.109038934,0.12186768,0.6440706,0.13319084,0.27702472,1.4802994,0.29040325,0.82022387,0.08584574,0.60826904,0.36358038,0.5974518,0.3117497,0.2899107,0.42425135,0.5326654,0.1181818181818181,0.5,0.3818181818181818
MZF1,0.28835696,0.05322723,0.11384429,0.45301268,0.11629626,0.46460888,1.4041791,0.36407986,1.0053984,0.06097692,0.5807338,0.52558166,0.5458538,0.48414466,0.4363366,0.5774561,0.4435686,0.160919540229885,0.367816091954023,0.4712643678160919
NAB2,0.2881299,0.03193156,0.0940962,0.41536358,0.09092416,0.36653736,1.0425109,0.21182288,0.7589565,0.06416959,0.56646353,0.6228048,0.5339293,0.66626453,0.669675,0.80917,0.6561088,0.1011904761904761,0.2619047619047619,0.6369047619047619
NCOA7,0.27449396,0.018359747,0.084085695,0.35908207,0.10977544,0.2359634,1.1496993,0.19178385,0.8815699,0.06757909,0.43262202,0.60124993,0.5260221,0.561025,0.5741038,0.7160196,0.54740345,0.2049180327868852,0.221311475409836,0.5737704918032787
NCOR2,0.35692367,0.03540651,0.09524878,0.40190583,0.07744713,0.26161906,1.1098957,0.29000604,0.81093234,0.07713738,0.6110069,0.51385427,0.524889,0.5453054,0.53531384,0.7036161,0.49128875,0.1481481481481481,0.2814814814814815,0.5703703703703704
NFAT5,0.32079595,0.010125723,0.09604269,0.339781,0.079602845,0.2193181,0.7893971,0.15811907,0.8432308,0.022055257,0.42085034,0.6671157,0.55919677,0.774459,0.6722251,0.84395,0.5813482,0.1382978723404255,0.2127659574468085,0.648936170212766
NFATC2,0.22061087,0.06442157,0.07678734,0.4452074,0.1244778,0.2646973,1.0437458,0.15931375,0.6311924,0.02991537,0.69413215,0.4948437,0.64445347,0.5216943,0.48762277,0.61200976,0.5843464,0.0521472392638036,0.4079754601226993,0.5398773006134969
NFE2,0.2875236,0.061277926,0.0820969,0.30315956,0.10877547,0.3940525,0.9620968,0.21220131,0.85269755,0.04960382,0.6297221,0.64196664,0.46829155,0.6690377,0.60651654,0.74378514,0.58547115,0.1336405529953917,0.2580645161290322,0.6082949308755761
NFE2L2,0.24290194,0.057033245,0.07738139,0.45744967,0.11691541,0.20815903,1.1262308,0.30803844,0.8023499,0.032274615,0.55415624,0.5555526,0.5504687,0.602593,0.4644623,0.7089477,0.53837574,0.0852272727272727,0.3125,0.6022727272727273
NFIA,0.23830034,0.03593633,0.08574193,0.46864703,0.114741154,0.46931508,1.1850158,0.339983,1.027646,0.04732778,0.5355402,0.4557701,0.5942811,0.47362912,0.4310893,0.5507602,0.49942762,0.2,0.3333333333333333,0.4666666666666667
NFIL3,0.27162987,0.012435454,0.06351559,0.40622544,0.08077981,0.4350211,1.0065491,0.25301617,0.83948463,0.050551176,0.5586603,0.71338445,0.59025335,0.7026058,0.6442738,0.6718982,0.54105896,0.144578313253012,0.216867469879518,0.6385542168674698
NFKB1,0.27393395,0.030318325,0.036025327,0.29292598,0.08568202,0.14775017,1.0204566,0.15207314,0.851457,0.028657675,0.62038505,0.5513469,0.46930298,0.59703505,0.52477616,0.7108645,0.535554,0.1298701298701298,0.2727272727272727,0.5974025974025974
NPAS2,0.2711742,0.06302596,0.081383064,0.43632653,0.11330892,0.37043688,1.1527312,0.27983764,0.8418531,0.07057894,0.5856246,0.5908867,0.5409833,0.5522118,0.50961477,0.6036639,0.60734963,0.1365638766519823,0.2863436123348017,0.5770925110132159
NR1H2,0.31761053,0.023359675,0.07876821,0.41676667,0.08246466,0.29791704,1.0404215,0.23474729,0.6217239,0.046869855,0.53815967,0.58465767,0.51360995,0.72287065,0.6394981,0.6998999,0.5926283,0.1344086021505376,0.2258064516129032,0.6397849462365591
